Geoid,verdi
1135,4561
5434,1197
1868,4416
1124,27457
1867,2576
3044,4434
5422,5559
5020,925
3801,27510
4638,4049
5442,880
4628,3918
5429,1166
5425,1831
1517,5140
5032,4069
1505,24099
3022,15953
1566,5872
1146,11178
3807,55144
5430,2920
3004,83193
4218,1335
4648,3597
3429,1518
3440,5093
3049,27118
3027,18730
5414,1092
5428,4812
1815,1182
3052,2412
3438,3064
3413,21072
3034,23422
3437,5592
4640,11938
1119,19120
3435,3564
5034,2413
3434,2204
3443,13459
1577,10781
3013,3601
1114,2791
1825,1453
1841,9640
3018,5805
3451,6360
3804,64345
1145,859
1160,8705
1816,465
3421,6580
3426,1563
4618,11002
1856,488
4228,1772
3815,4071
4205,23055
4630,8080
1506,31870
4620,1061
1851,2003
1874,989
3031,24454
3442,14871
1560,2985
3016,8222
3416,6099
1824,13268
4650,5885
5014,5204
5057,10306
1804,52560
1860,11521
3446,13611
5053,6764
3439,4408
3448,6581
4217,1822
1134,3809
3447,5579
5006,24152
5058,4271
5421,14725
5405,5642
1836,1206
1127,11315
3001,31387
3032,7043
3038,6811
4637,1294
5441,2829
0301,697010
4627,29594
5028,16949
3811,26957
3808,12994
4202,23891
1103,144147
1520,10830
3806,36526
5444,10103
3017,7568
3422,4338
1528,7596
3035,26031
3407,30395
3030,86953
4615,3147
1511,3083
4219,3619
4647,22020
1525,4482
1865,9670
3040,3262
4645,2991
5433,983
1539,7026
3046,2219
4226,1690
4644,5189
3452,2120
1578,2502
4617,13039
5435,3075
1837,6247
1832,4428
3029,42740
5419,3465
3036,14637
3053,6867
4601,285601
5404,1959
1149,42345
3005,101859
3805,47499
3023,19805
3412,7625
3802,25011
4203,45065
1828,1701
3006,27694
4227,5922
5424,2773
5439,1097
1144,507
1507,66670
3019,18290
4635,2272
3048,19709
4625,5276
4216,5274
1875,2701
4224,927
1833,26083
3403,31509
3823,1228
5418,6609
3425,1250
5415,1020
3041,4636
1532,8506
1853,1324
3014,45201
5036,2609
5438,1271
1515,8858
3433,2183
3415,7914
3002,49668
1818,1793
3414,5038
5401,77095
4616,2924
5427,2893
4213,6067
1812,1990
3821,2430
5054,9948
3033,40459
3424,1741
4212,2128
5031,14334
1130,13070
1848,2586
3007,30835
4646,2885
1106,37323
1563,6956
5046,1215
1111,3257
3813,14014
4611,4053
4643,5170
5001,207595
1151,192
3011,4694
4222,930
5413,1320
4602,17160
1813,7803
4214,6004
4614,18861
5035,24283
5026,1968
5037,20170
3431,2512
3436,5705
3045,3465
4206,9645
5059,18300
1535,6958
4220,1142
5060,9581
4201,6762
3401,17851
4223,14935
5007,15096
1822,2278
3024,128233
3427,5537
4633,525
5052,563
5403,20847
4623,2504
5426,2072
3820,2900
1857,698
4215,11180
4207,9027
4631,29337
5061,1989
4621,15787
1820,7394
1859,1238
1866,8065
5443,2200
3054,9062
4636,786
4626,38664
5038,14986
5406,11331
3042,2546
3450,1257
1531,9409
3015,3825
4634,1660
4624,25049
5411,2822
3454,1573
1514,2445
3420,21292
4225,10464
3449,2904
1870,10514
5045,2347
5423,2172
1834,1876
3818,5604
3047,14166
3418,7227
3816,6488
3817,10461
3417,4545
5043,459
3819,1561
5402,24738
4649,9517
5029,8367
1112,3174
1845,1912
3423,2378
3051,1386
5436,3921
1826,1267
1840,4632
1120,19848
1576,3468
1108,80450
5055,5941
1806,21661
3043,4648
4612,5798
3432,1980
3441,6023
3453,3236
5056,5140
5416,3959
3039,1049
1516,8575
1557,2658
4221,1169
4651,7118
5021,6981
1871,4588
4613,11953
1554,5808
3021,20439
5041,2054
4619,903
1133,2580
3003,57372
3028,11065
5042,1328
1811,1397
1827,1371
3428,2405
3430,1870
1573,2128
5440,928
1839,999
3050,2713
4639,2611
5027,6243
3803,57026
4629,376
5437,2641
1835,442
3411,34897
4632,2860
1121,19106
1579,13317
3012,1325
4622,8461
5047,3865
5022,2454
5033,759
1101,14787
1838,1920
1122,12064
3419,3587
5412,4209
5044,846
3037,2838
3814,10416
4642,2129
5025,5550
3812,2347
1547,3522
4211,2430
4641,1777
5049,1100
3025,94915
3405,28493
3825,3756
5432,860
3020,60034
3824,2164
3822,1430
3026,17591
4204,112588
5417,2089
5420,1063
